iter	Passed	Remaining
413	3389	28985
414	3397	28977
415	3406	28972
416	3414	28962
417	3423	28959
418	3430	28945
419	3438	28935
420	3446	28924
421	3454	28911
422	3462	28901
423	3469	28888
424	3478	28880
425	3486	28873
426	3493	28859
427	3501	28850
428	3509	28838
429	3517	28827
430	3525	28818
431	3533	28809
432	3541	28798
433	3549	28792
434	3558	28788
435	3566	28777
436	3574	28768
437	3583	28763
438	3590	28751
439	3598	28740
440	3605	28722
441	3614	28715
442	3621	28705
443	3630	28697
444	3638	28694
445	3645	28671
446	3653	28665
447	3661	28655
448	3670	28650
449	3677	28639
450	3686	28637
451	3695	28634
452	3704	28629
453	3713	28624
454	3720	28613
455	3729	28610
456	3737	28602
457	3745	28591
458	3754	28589
459	3762	28577
460	3771	28577
461	3779	28570
462	3787	28556
463	3795	28551
464	3804	28542
465	3812	28534
466	3819	28522
467	3828	28515
468	3836	28504
469	3844	28498
470	3851	28483
471	3860	28476
472	3867	28463
473	3875	28451
474	3882	28437
475	3890	28427
476	3898	28418
477	3907	28413
478	3915	28405
479	3923	28398
480	3931	28389
481	3940	28381
482	3947	28370
483	3955	28361
484	3963	28351
485	3972	28343
486	3979	28332
487	3988	28329
488	3996	28321
489	4004	28311
490	4012	28301
491	4021	28294
492	4029	28285
493	4037	28281
494	4045	28272
495	4053	28263
496	4061	28253
497	4069	28239
498	4077	28229
499	4085	28220
500	4093	28211
501	4101	28203
502	4109	28192
503	4117	28185
504	4125	28177
505	4134	28172
506	4142	28163
507	4151	28158
508	4158	28148
509	4167	28141
510	4175	28132
511	4183	28124
512	4190	28110
513	4198	28098
514	4206	28089
515	4214	28080
516	4223	28076
517	4231	28065
518	4238	28052
519	4246	28041
520	4254	28033
521	4262	28026
522	4271	28019
523	4279	28012
524	4287	28003
525	4295	27993
526	4303	27986
527	4312	27980
528	4320	27974
529	4329	27968
530	4337	27961
531	4346	27955
532	4355	27953
533	4364	27953
534	4373	27949
535	4381	27940
536	4389	27932
537	4398	27927
538	4406	27919
539	4415	27913
540	4423	27906
541	4431	27897
542	4439	27889
543	4447	27881
544	4455	27868
545	4463	27861
546	4472	27855
547	4480	27845
548	4487	27833
549	4495	27825
550	4503	27814
551	4511	27806
552	4519	27795
553	4527	27785
554	4535	27778
555	4544	27772
556	4552	27767
557	4560	27756
558	4568	27744
559	4576	27738
560	4585	27731
561	4593	27724
562	4601	27713
563	4609	27705
564	4617	27697
565	4625	27688
566	4634	27683
567	4643	27682
568	4651	27673
569	4660	27668
570	4669	27664
571	4677	27657
572	4686	27654
573	4695	27647
574	4703	27638
575	4711	27631
576	4719	27623
577	4728	27616
578	4735	27604
579	4743	27592
580	4751	27582
581	4759	27573
582	4767	27564
583	4774	27553
584	4782	27543
585	4790	27532
586	4798	27521
587	4806	27515
588	4814	27505
589	4821	27493
590	4829	27482
591	4837	27472
592	4845	27465
593	4853	27453
594	4861	27444
595	4869	27435
596	4878	27429
597	4885	27418
598	4893	27405
599	4900	27395
600	4909	27390
601	4917	27380
602	4925	27371
603	4933	27363
604	4941	27355
605	4949	27345
606	4958	27339
607	4966	27330
608	4974	27323
609	4982	27316
610	4990	27302
611	4998	27296
612	5006	27287
613	5014	27278
614	5022	27265
615	5029	27255
616	5038	27248
617	5046	27242
618	5054	27233
619	5062	27223
620	5070	27213
621	5078	27202
622	5086	27194
623	5094	27185
624	5102	27177
625	5110	27170
626	5119	27163
627	5128	27159
628	5136	27151
629	5144	27142
630	5152	27131
631	5160	27125
632	5168	27115
633	5176	27107
634	5184	27100
635	5193	27094
636	5201	27085
637	5209	27078
638	5217	27068
639	5225	27059
640	5233	27050
641	5241	27041
642	5250	27035
643	5259	27031
644	5268	27028
645	5276	27019
646	5284	27009
647	5292	26999
648	5300	26991
649	5308	26981
650	5316	26973
651	5324	26965
652	5332	26956
653	5340	26948
654	5349	26945
655	5358	26940
656	5366	26930
657	5373	26918
658	5381	26909
659	5389	26900
660	5398	26896
661	5407	26889
662	5415	26880
663	5423	26872
664	5431	26865
665	5439	26856
666	5448	26847
667	5456	26839
668	5463	26828
669	5471	26820
670	5480	26813
671	5488	26804
672	5496	26797
673	5505	26790
674	5513	26781
675	5519	26764
676	5527	26755
677	5535	26745
678	5543	26736
679	5551	26727
680	5559	26718
681	5567	26711
682	5575	26703
683	5583	26693
684	5591	26685
685	5599	26675
686	5607	26664
687	5615	26655
688	5623	26649
689	5631	26640
690	5640	26633
691	5648	26626
692	5656	26618
693	5665	26611
694	5673	26603
695	5681	26596
696	5690	26589
697	5698	26581
698	5707	26576
699	5715	26568
700	5723	26560
701	5732	26553
702	5740	26547
703	5748	26539
704	5758	26536
705	5765	26523
706	5773	26513
707	5780	26504
708	5788	26491
709	5796	26482
710	5803	26471
711	5811	26462
712	5819	26450
713	5826	26441
714	5835	26433
715	5843	26426
716	5851	26416
717	5859	26408
718	5867	26400
719	5874	26387
720	5883	26380
721	5891	26371
722	5899	26363
723	5906	26351
724	5915	26344
725	5922	26334
726	5931	26326
727	5938	26316
728	5946	26308
729	5955	26300
730	5963	26291
731	5971	26284
732	5980	26278
733	5987	26268
734	5996	26260
735	6003	26250
736	6011	26240
737	6019	26231
738	6027	26221
739	6034	26211
740	6042	26200
741	6050	26192
742	6059	26189
743	6067	26179
744	6075	26171
745	6083	26162
746	6092	26154
747	6100	26146
748	6108	26138
749	6115	26127
750	6124	26119
751	6131	26108
752	6139	26097
753	6147	26088
754	6155	26079
755	6163	26070
756	6171	26062
757	6179	26052
758	6187	26045
759	6196	26041
760	6204	26033
761	6212	26024
762	6221	26017
763	6228	26007
764	6236	25997
765	6244	25988
766	6253	25982
767	6260	25972
768	6269	25965
769	6277	25959
770	6286	25951
771	6294	25943
772	6302	25935
773	6310	25927
774	6318	25917
775	6326	25910
776	6335	25903
777	6344	25899
778	6353	25896
779	6361	25884
780	6369	25877
781	6377	25868
782	6385	25860
783	6393	25852
784	6401	25841
785	6409	25834
786	6418	25829
787	6426	25820
788	6434	25812
789	6442	25803
790	6451	25797
791	6459	25787
792	6467	25779
793	6475	25772
794	6483	25764
795	6491	25753
796	6499	25744
797	6507	25735
798	6515	25725
799	6523	25718
800	6531	25710
801	6539	25701
802	6548	25694
803	6556	25687
804	6564	25679
805	6572	25670
806	6580	25662
807	6588	25652
808	6596	25644
809	6604	25634
810	6612	25625
811	6619	25614
812	6627	25606
813	6636	25601
814	6645	25595
815	6653	25586
816	6661	25579
817	6669	25570
818	6678	25565
819	6686	25557
820	6694	25546
821	6702	25539
822	6711	25531
823	6719	25525
824	6727	25517
825	6736	25512
826	6745	25506
827	6754	25498
828	6762	25491
829	6770	25484
830	6779	25478
831	6787	25470
832	6795	25459
833	6803	25450
834	6811	25442
835	6819	25434
836	6827	25425
837	6835	25416
838	6843	25408
839	6852	25402
840	6861	25397
841	6868	25387
842	6877	25379
843	6885	25370
844	6892	25360
845	6900	25351
846	6909	25346
847	6918	25340
848	6926	25332
849	6934	25324
850	6943	25316
851	6951	25308
852	6959	25300
853	6967	25293
854	6975	25284
855	6984	25276
856	6993	25272
857	7001	25265
858	7009	25255
859	7017	25246
860	7025	25239
861	7033	25230
862	7042	25222
863	7049	25211
864	7053	25189
865	7061	25179
866	7069	25171
867	7077	25163
868	7085	25152
869	7093	25143
870	7101	25135
871	7109	25127
872	7117	25118
873	7125	25112
874	7134	25105
875	7141	25094
876	7149	25085
877	7157	25076
878	7166	25069
879	7173	25059
880	7181	25050
881	7189	25042
882	7198	25035
883	7207	25030
884	7215	25021
885	7223	25012
886	7231	25003
887	7240	24998
888	7248	24990
889	7256	24981
890	7264	24974
891	7273	24968
892	7281	24959
893	7289	24951
894	7297	24942
895	7305	24933
896	7313	24925
897	7321	24917
898	7329	24908
899	7339	24904
900	7346	24891
901	7354	24885
902	7363	24877
903	7371	24869
904	7379	24861
905	7386	24851
906	7394	24842
907	7402	24832
908	7410	24824
909	7418	24815
910	7427	24808
911	7435	24802
912	7443	24793
913	7451	24783
914	7459	24774
915	7466	24761
916	7473	24752
917	7482	24745
918	7490	24738
919	7499	24730
920	7507	24725
921	7516	24717
922	7524	24708
923	7532	24701
924	7540	24692
925	7549	24686
926	7557	24676
927	7565	24669
928	7573	24662
929	7582	24654
930	7590	24646
931	7598	24637
932	7606	24628
933	7614	24619
934	7622	24612
935	7629	24599
936	7638	24593
937	7646	24584
938	7654	24576
939	7661	24567
940	7670	24559
941	7678	24551
942	7687	24544
943	7695	24538
944	7704	24533
945	7714	24530
946	7722	24522
947	7731	24515
948	7740	24508
949	7748	24502
950	7756	24491
951	7763	24482
952	7771	24473
953	7779	24463
954	7787	24453
955	7794	24444
956	7803	24436
957	7810	24427
958	7818	24418
959	7826	24410
960	7834	24400
961	7841	24389
962	7850	24382
963	7857	24371
964	7865	24362
965	7874	24356
966	7881	24346
967	7890	24339
968	7898	24330
969	7906	24323
970	7915	24315
971	7923	24307
972	7931	24300
973	7939	24291
974	7948	24284
975	7953	24267
976	7960	24257
977	7969	24250
978	7976	24239
979	7984	24231
980	7993	24223
981	8001	24215
982	8009	24207
983	8017	24199
984	8025	24190
985	8034	24183
986	8042	24175
987	8050	24167
988	8058	24160
989	8067	24153
990	8075	24143
991	8083	24136
992	8091	24129
993	8099	24119
994	8105	24104
995	8114	24097
996	8121	24088
997	8130	24080
998	8138	24072
999	8146	24064
1000	8154	24055
1001	8162	24048
1002	8170	24040
1003	8178	24031
1004	8187	24023
1005	8195	24015
1006	8203	24008
1007	8212	24000
1008	8220	23992
1009	8227	23982
1010	8236	23975
1011	8244	23967
1012	8252	23959
1013	8260	23950
1014	8268	23941
1015	8276	23934
1016	8284	23925
1017	8293	23918
1018	8301	23910
1019	8309	23902
1020	8317	23892
1021	8325	23884
1022	8330	23868
1023	8339	23862
1024	8347	23854
1025	8355	23845
1026	8363	23837
1027	8372	23829
1028	8379	23819
1029	8388	23813
1030	8397	23808
1031	8405	23799
1032	8413	23790
1033	8422	23784
1034	8430	23776
1035	8438	23767
1036	8446	23760
1037	8455	23754
1038	8462	23741
1039	8469	23732
1040	8478	23724
1041	8486	23715
1042	8494	23707
1043	8502	23699
1044	8511	23692
1045	8519	23684
1046	8527	23676
1047	8536	23670
1048	8544	23661
1049	8552	23653
1050	8560	23644
1051	8568	23635
1052	8576	23628
1053	8584	23620
1054	8592	23612
1055	8601	23604
1056	8609	23596
1057	8617	23588
1058	8622	23571
1059	8631	23564
1060	8638	23555
1061	8647	23547
1062	8656	23541
1063	8665	23536
1064	8674	23530
1065	8682	23522
1066	8690	23514
1067	8698	23506
1068	8707	23499
1069	8715	23492
1070	8724	23486
1071	8732	23477
1072	8741	23470
1073	8749	23461
1074	8757	23454
1075	8766	23446
1076	8774	23438
1077	8781	23429
1078	8789	23420
1079	8797	23410
1080	8805	23402
1081	8813	23395
1082	8821	23386
1083	8829	23378
1084	8837	23369
1085	8846	23361
1086	8854	23354
1087	8863	23347
1088	8870	23337
1089	8878	23329
1090	8886	23321
1091	8895	23313
1092	8902	23303
1093	8910	23295
1094	8919	23287
1095	8926	23276
1096	8934	23268
1097	8942	23259
1098	8949	23249
1099	8957	23241
1100	8966	23233
1101	8974	23227
1102	8982	23218
1103	8990	23209
1104	8998	23200
1105	9006	23192
1106	9014	23183
1107	9023	23176
1108	9031	23169
1109	9040	23163
1110	9048	23154
1111	9056	23146
1112	9064	23137
1113	9072	23130
1114	9080	23120
1115	9088	23112
1116	9096	23102
1117	9104	23096
1118	9112	23086
1119	9120	23076
1120	9128	23068
1121	9135	23058
1122	9143	23050
1123	9152	23042
1124	9159	23033
1125	9166	23022
1126	9174	23012
1127	9182	23006
1128	9191	22998
1129	9199	22990
1130	9207	22982
1131	9216	22975
1132	9224	22967
1133	9232	22958
1134	9240	22951
1135	9249	22944
1136	9257	22936
1137	9265	22928
1138	9272	22916
1139	9280	22908
1140	9288	22900
1141	9296	22891
1142	9305	22885
1143	9313	22877
1144	9322	22871
1145	9332	22867
1146	9340	22859
1147	9348	22851
1148	9357	22843
1149	9365	22834
1150	9373	22826
1151	9381	22819
1152	9389	22811
1153	9397	22800
1154	9405	22792
1155	9413	22784
1156	9421	22775
1157	9429	22767
1158	9437	22759
1159	9446	22752
1160	9453	22742
1161	9462	22737
1162	9471	22729
1163	9479	22721
1164	9487	22713
1165	9495	22705
1166	9504	22697
1167	9512	22689
1168	9520	22680
1169	9528	22672
1170	9536	22664
1171	9544	22657
1172	9552	22648
1173	9560	22639
1174	9568	22630
1175	9576	22622
1176	9585	22614
1177	9593	22606
1178	9601	22598
1179	9610	22592
1180	9619	22585
1181	9627	22577
1182	9635	22570
1183	9644	22563
1184	9653	22557
1185	9661	22548
1186	9670	22541
1187	9678	22534
1188	9687	22527
1189	9696	22520
1190	9704	22513
1191	9713	22506
1192	9721	22498
1193	9729	22490
1194	9737	22482
1195	9746	22475
1196	9753	22464
1197	9761	22456
1198	9769	22447
1199	9777	22440
1200	9785	22431
1201	9791	22417
1202	9798	22407
1203	9804	22394
1204	9813	22387
1205	9820	22376
1206	9829	22370
1207	9838	22364
1208	9848	22359
1209	9857	22353
1210	9865	22345
1211	9873	22336
1212	9881	22329
1213	9889	22320
1214	9897	22312
1215	9905	22304
1216	9914	22297
1217	9922	22289
1218	9929	22279
1219	9937	22270
1220	9943	22256
1221	9951	22248
1222	9959	22239
1223	9967	22231
1224	9975	22223
1225	9983	22214
1226	9991	22205
1227	9999	22197
1228	10007	22188
1229	10015	22180
1230	10023	22172
1231	10031	22164
1232	10039	22155
1233	10048	22148
1234	10056	22140
1235	10065	22133
1236	10072	22124
