iter	Logloss
0	0.6882014179
1	0.6833249424
2	0.6784847216
3	0.6738064488
4	0.669410851
5	0.6651061598
6	0.6607048906
7	0.6566340216
8	0.6524389568
9	0.648501196
10	0.6444927303
11	0.6405536958
12	0.6367297244
13	0.6329612575
14	0.629410567
15	0.625807144
16	0.6224078194
17	0.619097721
18	0.61582685
19	0.6125992765
20	0.6092185162
21	0.6059707152
22	0.6029853156
23	0.5998997346
24	0.5969426059
25	0.5940656575
26	0.5911384519
27	0.5882345556
28	0.5856245964
29	0.5830380126
30	0.5803295997
31	0.577719629
32	0.5751589551
33	0.5728253992
34	0.5703880591
35	0.5679343328
36	0.565569087
37	0.5633865357
38	0.5611271019
39	0.5588984491
40	0.5568784098
41	0.5547597283
42	0.5527061423
43	0.5506759743
44	0.5486898064
45	0.5467452031
46	0.5448588106
47	0.5429627266
48	0.5412524518
49	0.5394615618
50	0.5376861087
51	0.5360319291
52	0.5343301942
53	0.5327994587
54	0.5312098087
55	0.5296439622
56	0.5280258448
57	0.5264835733
58	0.5250456755
59	0.5235237204
60	0.5221210093
61	0.5207047456
62	0.5193287398
63	0.517987394
64	0.5167483265
65	0.5154463687
66	0.5141748574
67	0.5128903482
68	0.5117611474
69	0.5105845061
70	0.5095424945
71	0.5084085034
72	0.5073421065
73	0.5062620711
74	0.505143578
75	0.5041303991
76	0.5031042543
77	0.5020817053
78	0.5010893944
79	0.500099083
80	0.4991247918
81	0.4982299959
82	0.4973993225
83	0.4964665383
84	0.495680056
85	0.4947712132
86	0.4939246589
87	0.4930850823
88	0.4923404211
89	0.4915668179
90	0.4907855697
91	0.490049027
92	0.4892784728
93	0.4885997637
94	0.4878915361
95	0.4872590796
96	0.4865438191
97	0.4858351055
98	0.4851637013
99	0.4845287923
100	0.4838942343
101	0.483255817
102	0.4827010371
103	0.4821643909
104	0.4815579673
105	0.4809474298
106	0.4803814127
107	0.479823878
108	0.479285146
109	0.478744168
110	0.4782479159
111	0.4777313486
112	0.4772158814
113	0.4766946292
114	0.4761619379
115	0.4756511988
116	0.4751743653
117	0.4747025492
118	0.4742370937
119	0.4738080415
120	0.4733707593
121	0.4729647086
122	0.4725746787
123	0.4721668534
124	0.4717669952
125	0.4714118584
126	0.4710287109
127	0.4706598681
128	0.4703300245
129	0.469950325
130	0.4696037347
131	0.4692383301
132	0.4688629289
133	0.4685183303
134	0.4681517307
135	0.4678337686
136	0.4675109116
137	0.4671873825
138	0.4669106846
139	0.4666012492
140	0.4663365848
141	0.4660386347
142	0.4657354721
143	0.4654750893
144	0.4652417941
145	0.4649616234
146	0.4647073581
147	0.4644242591
148	0.4641583645
149	0.4638924893
150	0.463680122
151	0.4634462755
152	0.4632187377
153	0.4629721672
154	0.4627597979
155	0.4625271009
156	0.4623029762
157	0.4620583883
158	0.4618230996
159	0.4616318697
160	0.4614311037
161	0.4612499009
162	0.461053977
163	0.4608820483
164	0.4606890038
165	0.4605170803
166	0.4603764408
167	0.4601873677
168	0.4600134558
169	0.4598641091
170	0.4596889594
171	0.4594997335
172	0.4593391479
173	0.4591984471
174	0.4590507857
175	0.4588570183
176	0.4587368199
177	0.4585896322
178	0.4584287698
179	0.4583035675
180	0.4581303814
181	0.4579894431
182	0.4578370858
183	0.4577051121
184	0.4575862222
185	0.4574854713
186	0.4573382581
187	0.4571942095
188	0.4570961262
189	0.4569382536
190	0.4568243476
191	0.4566813585
192	0.4565552424
193	0.4564206714
194	0.4563216237
195	0.4562155965
196	0.4560770385
197	0.4559671383
198	0.4558691191
199	0.4557488392
200	0.4556368542
201	0.4555304494
202	0.4554239881
203	0.4553126539
204	0.4552169107
205	0.4551391521
206	0.455016155
207	0.4549382196
208	0.4547982671
209	0.4546791129
210	0.4545851461
211	0.4544768955
212	0.4543707906
213	0.4542774541
214	0.4542062521
215	0.4541398594
216	0.4540624249
217	0.4539766749
218	0.4539279882
219	0.4538329328
220	0.4537472299
221	0.4536616486
222	0.4535647905
223	0.453485853
224	0.4534076697
225	0.453336919
226	0.4532733215
227	0.4531981132
228	0.4531242951
229	0.4530460578
230	0.4529661852
231	0.4529060701
232	0.4528501371
233	0.4527742776
234	0.4526865932
235	0.45262087
236	0.4525516412
237	0.4524669852
238	0.4523660859
239	0.4523150924
240	0.4522459111
241	0.4521746486
242	0.4521450245
243	0.4520974021
244	0.4520328602
245	0.4519601101
246	0.451894919
247	0.4518336174
248	0.4517806446
249	0.4517099845
250	0.4516813192
251	0.4516209425
252	0.4515600033
253	0.4514955331
254	0.4514503842
255	0.4513836783
256	0.4513290877
257	0.4512694476
258	0.4512282687
259	0.4511829584
260	0.4511394874
261	0.4510726562
262	0.4510189534
263	0.450956839
264	0.4509011809
265	0.450852334
266	0.4508102706
267	0.4507567888
268	0.450725969
269	0.4506840318
270	0.4506291864
271	0.450557522
272	0.4505080114
273	0.4504599804
274	0.4504087385
275	0.4503668548
276	0.4503067337
277	0.4502694283
278	0.4502298233
279	0.4501799024
280	0.4501342566
281	0.4500801204
282	0.4500291922
283	0.4499797519
284	0.4499487445
285	0.4499215475
286	0.4498754108
287	0.4498292899
288	0.449788563
289	0.4497460755
290	0.4497006334
291	0.449645879
292	0.4495914966
293	0.4495546609
294	0.4494939053
295	0.4494562551
296	0.449393669
297	0.4493593004
298	0.4493341147
299	0.4492909794
300	0.4492381892
301	0.4491947198
302	0.4491567712
303	0.449120187
304	0.4490673572
305	0.4490340501
306	0.4489892034
307	0.4489614502
308	0.4489240617
309	0.448899608
310	0.4488711153
311	0.4488354531
312	0.4488087894
313	0.4487773155
314	0.4487505021
315	0.4487103828
316	0.4486879496
317	0.4486530295
318	0.4486199079
319	0.4485952029
320	0.4485730467
321	0.4485265636
322	0.448506234
323	0.4484701486
324	0.4484284817
325	0.4483934334
326	0.4483439077
327	0.4483222565
328	0.4482719399
329	0.4482306485
330	0.4481933823
331	0.4481591662
332	0.4481204867
333	0.448099468
334	0.4480703143
335	0.4480382252
336	0.4480152679
337	0.4479770821
338	0.4479431531
339	0.4478971232
340	0.4478695797
341	0.4478436383
342	0.4478004531
343	0.4477805505
344	0.4477506556
345	0.4477241027
346	0.4477016506
347	0.4476805228
348	0.4476460787
349	0.44761896
350	0.4475842561
351	0.4475526107
352	0.4475331356
353	0.447513033
354	0.4474843759
355	0.447443596
356	0.4474093052
357	0.4473839882
358	0.4473520993
359	0.4473210173
360	0.4472948669
361	0.4472624437
362	0.4472374344
363	0.4472235028
364	0.4471964131
365	0.4471599676
366	0.4471257439
367	0.4470986293
368	0.4470641243
369	0.447039171
370	0.4470075211
371	0.4469821535
372	0.4469437468
373	0.4469130233
374	0.4468786436
375	0.4468510988
376	0.4468292644
377	0.4467996084
378	0.4467744784
379	0.4467274521
380	0.4467080704
381	0.4466978767
382	0.4466735448
383	0.4466351943
384	0.4466033805
385	0.4465857724
386	0.4465667708
387	0.4465382831
388	0.4465290117
389	0.4465056863
390	0.4464852534
391	0.4464697372
392	0.4464405535
393	0.4464089489
394	0.44638609
395	0.4463631349
396	0.4463420399
397	0.4463081105
398	0.4462744688
399	0.4462574976
400	0.4462365178
